Stock,Market Cap,Trading Volume
GME,6052368896.00,57534457
AAL,8620448768.00,38384578
AAPL,2607920000000.00,90630054
AMD,140388000000.00,51258088
APHA,6400000000.00,5240000000
BILI,8180410368.00,5470092
CLOV,354529120.00,29917619
DKNG,9889592320.00,15105339
ECOR,31863098.00,146739
FB,544446000000.00,18891932
INO,222802672.00,7825923
JD,54292025344.00,11052858
MSFT,2087090000000.00,26044933
MVIS,345026656.00,12913705
NAKD,390000000.00,85910322
PLUG,5474059776.00,29732084
SNDL,342820512.00,23678024
TLRY,1449228800.00,26755883
TSLA,508707000000.00,82339991
WKHS,163171088.00,14132284
ZM,19468103680.00,4292634
