Date,gme,aal,aapl,amd,aph,bili,clov,dkng,ecor,meta,ino,jd,msft,mvis,cenn,plug,sndl,tlry,tsla,wkhs,zm
2021-03-08 00:00:00-05:00,254262400,39776900,154376600,54563900,3243600,16406100,14706600,14860500,75947,18391800,9897800,13504200,35267400,8994900,6815427,26054900,20448560,18997900,155361000,47803900,6899100
2021-03-09 00:00:00-05:00,156397200,39820400,129525800,45088300,2440100,11670400,13962900,17112200,105973,22039700,10784200,11581500,33080500,11833900,7348887,34205100,31380080,17739900,202569900,29758700,5705200
2021-03-10 00:00:00-05:00,286282400,44224900,111943300,45416600,3171300,9293300,13634700,36251400,66420,14210300,7539400,9256300,29746800,10208200,10053493,30457500,29124170,27575000,181817100,19764800,4730000
2021-03-11 00:00:00-05:00,113250000,39002400,103026500,43583700,3567600,9068500,9389800,17064700,89413,21834000,7621300,24719800,29907600,9720000,5021627,27986700,25310560,38273200,108761700,23308200,3915400
2021-03-12 00:00:00-05:00,103383600,55260300,88105100,32938000,2157000,4187500,6492900,18728900,55680,20600200,6871200,24764000,22653700,20684400,4743053,21471000,24493240,40665300,100751400,20011800,2960800
2021-03-15 00:00:00-04:00,96401600,93746800,92403800,39086800,2513200,3421100,9329400,23326900,43133,16844800,5382000,12745700,26034900,9632200,4966753,17340100,51228010,43471200,88006800,14264300,1988200
2021-03-16 00:00:00-04:00,141691600,47923600,115227900,42971600,2918600,7709700,8385100,15197300,41987,22437700,6540700,10145200,28092200,8027200,6122700,29543500,47262080,42308100,96587100,12728900,3333200
2021-03-17 00:00:00-04:00,65926400,38540100,111932600,43320600,2083600,7730900,13208400,12790500,73967,21315000,5871800,11941600,29562100,6942800,3231607,119530000,27031140,20641800,121117500,9499900,3593200
2021-03-18 00:00:00-04:00,47059600,53228500,121229700,51036500,2389200,3617000,12319200,15131900,72573,18728300,5733800,10261100,34833000,6092900,2771927,39978400,41934440,24905900,99674400,15296200,5434400
2021-03-19 00:00:00-04:00,98709200,49461200,185549500,42283400,3271300,3868300,19825200,23723600,41173,38930500,11353400,13364500,46430700,7904700,2083973,55298800,20875060,16057100,128682000,10436000,4981400
2021-03-22 00:00:00-04:00,40246000,42676000,111912300,39648600,2344500,5604700,10363600,20582900,38987,28273100,4325400,7398800,30127000,11621000,5537313,24794800,32758440,16986000,118536600,7604000,2947900
2021-03-23 00:00:00-04:00,57716400,55290700,95467100,40466600,3137800,5330700,12386900,12610400,163573,23000900,6410600,8862500,31638400,10830100,3028080,23159500,26549580,24576800,91475700,12272800,5723800
2021-03-24 00:00:00-04:00,96711600,44703900,88530500,43753600,2051500,14206700,8895300,13423100,62907,18675000,7819900,17406100,25620100,12629700,8002493,29233700,21786990,25929400,101385600,12115900,4924500
2021-03-25 00:00:00-04:00,203849200,49746900,98844700,44735100,2537100,6910300,8926300,18336900,50233,24505600,6641800,14599200,34061900,11953200,5753127,35469800,26712690,17471100,117674700,11762900,3564800
2021-03-26 00:00:00-04:00,149722800,36972400,94071200,49148700,2405800,9639800,5656000,16265600,25880,17629200,7196800,19789600,25479900,6983900,9732673,20150000,21365590,14216600,101558400,13502200,3219800
2021-03-29 00:00:00-04:00,40168800,30700100,80819200,37144300,2013600,15293000,4552900,22224100,35993,21718800,6067500,8989000,25227500,7266700,4132807,28952900,14007690,12267700,85911000,9756800,3041400
2021-03-30 00:00:00-04:00,68379600,39747900,85671900,39169300,2587000,5813800,5227000,15084700,19480,17474500,6373600,7102200,24792000,8775900,2820787,34914000,11571260,11488000,118297200,8341900,2837100
2021-03-31 00:00:00-04:00,33575200,29800300,118323800,43659500,2991800,4572900,4816500,10469700,33113,19498200,7523400,10140600,43623500,56686200,2583587,40440600,19891870,20987000,100011900,11405700,2773200
2021-04-01 00:00:00-04:00,37337200,25956200,75089100,40182400,2722600,5500900,4261000,10294900,49340,17616000,6050600,11909100,30338000,26087100,2234993,29543600,11652200,12691800,105895200,10386800,2853900
2021-04-05 00:00:00-04:00,56282000,33657000,88651200,32610600,1790600,2872900,3472300,10105700,76247,28237000,6339000,9268300,36910600,9009300,2312020,28426000,12489090,11486200,125528400,9816700,3024700
2021-04-06 00:00:00-04:00,24873200,31099400,80171300,29327900,2149300,3521000,3911200,10550400,25020,17335200,5946100,8909500,22931900,7434800,3180833,23517000,16093840,16494100,84815400,8335300,3767100
2021-04-07 00:00:00-04:00,19073200,27792500,83466700,35590900,4129600,7207900,3555200,11754500,31993,22855200,5913900,9445200,22719800,9514400,3212353,34420500,14197390,18597900,78928200,8386800,4197700
2021-04-08 00:00:00-04:00,40189600,28606600,88844600,41925300,3017100,2630600,76990700,10833100,490420,20894100,6680600,6651800,23625200,6438700,4291047,27881200,18082490,13503500,71772900,8149700,2821500
2021-04-09 00:00:00-04:00,37849600,21307700,106686700,32759900,2147500,3723900,28369100,12413100,59513,15988600,4780600,8313400,24326800,6310700,17369207,19934200,13939930,14099600,64311300,7270000,3216500
2021-04-12 00:00:00-04:00,66734400,27165700,91420000,62098800,3052900,2710900,10003600,23952600,67887,10881900,7574300,14302500,27148700,8498100,4427233,43878900,15724470,27251700,87407100,8069900,2964500
2021-04-13 00:00:00-04:00,27227600,44741600,91266500,37767300,3619000,2396400,4714700,13399400,54700,14036900,5577700,12511500,23837500,7040900,3643100,40036800,16955440,23514900,133958400,8576400,5298200
2021-04-14 00:00:00-04:00,84552400,33969600,87222800,34263800,2898800,2424300,4996100,10299500,28960,17421400,5963700,8603700,23070900,16554700,3520647,30642300,12729810,15412000,147052200,7287400,2844900
2021-04-15 00:00:00-04:00,31427200,34424100,89347100,68942800,2101100,2703500,5824400,11994300,36753,14558300,71187600,8614400,25627500,18721500,4207953,69174300,17882780,20269600,83546700,13326300,3360700
2021-04-16 00:00:00-04:00,20858800,25958000,84922400,47280600,6099300,2577800,249097800,15202800,77293,13059200,8920100,13891600,24878600,7619500,4728167,50767700,21290730,12323100,83938500,34278600,2476500
2021-04-19 00:00:00-04:00,42080800,27424900,94264200,39115500,2771200,3275700,236758200,15947400,33560,14553500,6251600,9509000,23209300,6171300,7976987,36094600,29532720,15933400,119058600,14945600,3131900
2021-04-20 00:00:00-04:00,18634400,48820800,94812300,34977800,1531700,4782000,41659000,11987700,38613,16796400,5244100,15550800,19722900,16808800,2601453,40063500,34327500,22046000,106827000,9874300,2282500
