Date,msft,aapl,tsla,amzn,meta,brk-b,goog,jnj,jpm,v,pg,ma,intc,unh,bac,t,hd,xom,dis,vz,ko,mrk,cmcsa,cvx,pep,pfe,^gspc
2020-05-13 00:00:00-04:00,44711500,200622400,285982500,95658000,20684600,10258900,36252000,6970500,35451600,13377100,9312600,4802100,21065000,5474100,112113400,65226860,6237200,30827900,21085800,20604500,15854800,10935146,30898300,12215100,5168500,24596882,6151650000
2020-05-14 00:00:00-04:00,41873900,158929200,205233000,72962000,17178900,7013600,32062000,6871400,35152500,9695100,9310000,6294200,21569400,5704600,88359100,52730948,6434500,24856500,22002200,15859200,18000800,11407585,24334900,10678200,5522200,22362507,5651130000
2020-05-15 00:00:00-04:00,46610400,166348400,157776000,84700000,19383200,5937500,34154000,10340400,26099000,10785900,10694800,3813300,21373300,12182800,64484000,42699397,16176300,22445600,29766000,10174000,31579400,9367234,31571600,10113000,20338200,25460002,5507700000
2020-05-18 00:00:00-04:00,35264500,135178400,174987000,87144000,20151900,7458900,36448000,7388400,30504400,11802200,10020800,6037800,20428700,4015100,86589400,46244540,8314800,32026100,40044600,15735900,26118500,12552630,24827400,12304300,8480300,22635177,6373670000
2020-05-19 00:00:00-04:00,26799100,101729600,144547500,86410000,31843200,5574800,25612000,6107300,19597300,7446800,8047600,5211800,21865000,3059400,62179000,46628367,9387000,21771600,20332600,18467100,17839900,10591822,27763200,7749300,6640300,19476234,4984330000
2020-05-20 00:00:00-04:00,31261300,111504800,109639500,79962000,50162900,5455600,33108000,5713400,20552400,9545600,6593800,4592200,30584000,3200600,59789500,50178408,7534200,19352400,25749900,21405400,22295900,11027685,23123500,9160000,8213100,17504200,5005380000
2020-05-21 00:00:00-04:00,29119500,102688800,183819000,102288000,47782600,4059900,27700000,6487300,14621400,11338100,6552700,3944100,20987700,3604900,57726000,51200272,4772700,19130700,17578300,18201000,13193500,9000329,20744200,8830900,4886300,17652181,4976620000
2020-05-22 00:00:00-04:00,20826900,81803200,149812500,57342000,33925600,3584800,26188000,6140900,13557900,5807600,5571900,2897000,14103000,2922800,48107000,35269109,3041800,15406400,9288200,19960000,13008400,6357482,12383000,8563100,3429200,15781226,3970860000
2020-05-26 00:00:00-04:00,36073600,125522000,121345500,71364000,33178300,7107600,41212000,7072300,41233900,9662200,10432400,5246900,20933600,4567800,119485500,54791357,4535200,20356500,16466400,20830500,22223100,19146017,21584900,9430000,5579300,23260094,5848500000
2020-05-27 00:00:00-04:00,39517100,112945200,173242500,101138000,34697600,7410500,33716000,7950000,39402000,7650300,8279700,5147900,19886300,5618900,117672700,57514957,4664800,20788300,19345400,17063800,18447600,12828987,20654900,7822600,5686500,25904158,6398000000
2020-05-28 00:00:00-04:00,33810200,133560800,108834000,63804000,29377200,6313100,33844000,6189600,24713900,8352200,6586700,4520800,17253500,4387700,84340800,52532745,5259300,19698000,18606000,15427900,16230600,13180906,18254000,9633300,4974400,22521767,5447020000
2020-05-29 00:00:00-04:00,42130400,153532400,176467500,70198000,23241500,10630200,36418000,8504000,26526400,10211900,7868000,4930100,33393900,6251500,113811100,57900771,5341600,25874700,17745100,34227800,51125000,13517104,20298700,17010000,13337900,48333067,7297550000
2020-06-01 00:00:00-04:00,22622400,80791200,224092500,58578000,18223800,5718800,24342000,6141800,15176800,6011300,5105600,2841800,14317700,2894000,58375500,33027445,3407800,19031000,10538300,18156100,17010700,6269241,13350600,7344000,4049200,76884979,4684170000
