created_at,$MSFT,$AAPL,$AMZN,$FB,$BBRK.B,$GOOG,$JNJ,$JPM,$V,$PG,$MA,$INTC,$UNH,$BAC,$T,$HD,$XOM,$DIS,$VZ,$KO,$MRK,$CMCSA,$CVX,$PEP,$PFE,$SPY
2020-05-09,185.0,534.0,325.0,198.0,False,135.0,39.0,47.0,246.0,27.0,65.0,41.0,9.0,52.0,462.0,31.0,36.0,180.0,23.0,41.0,30.0,12.0,21.0,13.0,50.0,1091.0
2020-05-28,480.0,1164.0,891.0,1732.0,False,640.0,79.0,265.0,485.0,53.0,190.0,107.0,90.0,221.0,1925.0,134.0,129.0,437.0,67.0,72.0,77.0,47.0,57.0,59.0,122.0,2699.0
2020-05-29,387.0,898.0,654.0,801.0,False,345.0,88.0,172.0,432.0,44.0,126.0,70.0,36.0,115.0,1214.0,127.0,65.0,309.0,76.0,60.0,79.0,52.0,42.0,52.0,143.0,2376.0
2020-05-30,170.0,432.0,371.0,461.0,False,166.0,54.0,68.0,220.0,18.0,67.0,33.0,23.0,55.0,537.0,35.0,33.0,130.0,23.0,49.0,30.0,10.0,24.0,16.0,38.0,1097.0
2020-05-31,195.0,473.0,359.0,342.0,False,170.0,44.0,77.0,196.0,16.0,75.0,41.0,18.0,61.0,516.0,48.0,39.0,120.0,24.0,29.0,39.0,10.0,21.0,16.0,39.0,1224.0
2020-06-01,437.0,1097.0,822.0,801.0,False,397.0,84.0,178.0,526.0,48.0,125.0,110.0,41.0,118.0,1116.0,104.0,55.0,239.0,87.0,61.0,172.0,26.0,40.0,103.0,277.0,2628.0
2020-06-02,616.0,1251.0,863.0,889.0,False,373.0,88.0,245.0,560.0,42.0,168.0,78.0,80.0,189.0,982.0,100.0,91.0,191.0,56.0,61.0,117.0,44.0,35.0,57.0,156.0,2288.0
2020-06-03,571.0,1177.0,1024.0,1108.0,False,511.0,246.0,292.0,541.0,36.0,176.0,159.0,47.0,252.0,1180.0,129.0,124.0,264.0,57.0,57.0,191.0,44.0,73.0,50.0,216.0,3156.0
2020-06-04,453.0,885.0,1592.0,770.0,False,452.0,117.0,201.0,577.0,47.0,167.0,110.0,45.0,173.0,1320.0,68.0,99.0,308.0,49.0,71.0,125.0,35.0,34.0,41.0,97.0,2496.0
2020-06-05,724.0,1592.0,1158.0,708.0,False,451.0,103.0,305.0,498.0,48.0,181.0,122.0,82.0,278.0,1163.0,135.0,157.0,324.0,53.0,92.0,98.0,53.0,61.0,76.0,104.0,3255.0
2020-06-06,376.0,652.0,456.0,303.0,False,199.0,40.0,88.0,243.0,21.0,108.0,49.0,34.0,85.0,551.0,58.0,55.0,82.0,19.0,50.0,26.0,27.0,27.0,24.0,45.0,1273.0
2020-06-07,357.0,789.0,451.0,465.0,False,193.0,63.0,91.0,273.0,37.0,106.0,55.0,42.0,131.0,601.0,52.0,69.0,143.0,27.0,66.0,44.0,21.0,26.0,49.0,46.0,1436.0
2020-06-08,729.0,1102.0,1162.0,646.0,False,351.0,85.0,178.0,610.0,44.0,156.0,100.0,75.0,198.0,1190.0,85.0,222.0,286.0,49.0,81.0,80.0,27.0,66.0,40.0,62.0,2634.0
2020-06-09,856.0,2053.0,1628.0,1080.0,False,702.0,116.0,188.0,669.0,46.0,182.0,183.0,38.0,180.0,1205.0,133.0,136.0,241.0,53.0,65.0,127.0,37.0,74.0,59.0,86.0,2622.0
2020-06-10,1234.0,2184.0,1556.0,879.0,False,540.0,318.0,292.0,718.0,60.0,227.0,184.0,48.0,207.0,1683.0,113.0,163.0,322.0,61.0,80.0,111.0,52.0,83.0,98.0,157.0,2948.0
2020-06-11,898.0,1770.0,1421.0,728.0,False,745.0,154.0,254.0,732.0,52.0,179.0,118.0,53.0,247.0,1228.0,91.0,183.0,355.0,49.0,97.0,72.0,33.0,82.0,56.0,122.0,4238.0
2020-06-13,268.0,535.0,355.0,255.0,False,128.0,55.0,51.0,266.0,15.0,87.0,65.0,21.0,46.0,590.0,40.0,35.0,122.0,15.0,59.0,46.0,25.0,19.0,14.0,36.0,1259.0
2020-06-14,261.0,668.0,469.0,453.0,False,257.0,72.0,73.0,283.0,18.0,74.0,38.0,6.0,68.0,653.0,52.0,49.0,129.0,14.0,47.0,42.0,11.0,23.0,15.0,33.0,1369.0
2020-06-15,563.0,1298.0,999.0,855.0,False,482.0,81.0,324.0,723.0,30.0,202.0,196.0,47.0,215.0,1394.0,122.0,193.0,337.0,75.0,96.0,95.0,48.0,78.0,57.0,95.0,3368.0
